n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_fd;915632;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ep;915636;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_current_msec;984920;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_syslog_time;984976;1024
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_log_iso8601;986030;1664
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_log_time;987697;1728
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_time;989434;1920
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_err_log_time;991324;1280
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_time;992616;1536
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;slot;994096;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994168;64
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_accept_disabled;994952;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_flags;995184;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_process;1110344;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_use_epoll_rdhup;1111329;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_conn;1111384;232
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_event;1111624;96
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;nevents;1111713;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;start_value;1112080;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_use_exclusive_accept;994944;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_processes;1061009;49152
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;environ@@GLIBC_2.2.5;984384;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_os_environ;984544;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_syslog_time;984832;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_http_log_iso8601;984848;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_http_log_time;984864;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_http_time;984880;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_err_log_time;984896;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_cached_time;984912;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;16
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;24
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;32
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;40
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994112;8;48
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;16
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;24
